Depth,Reeval_level,Time(s),Preeval
2,1,2.9447332359850407,3
2,1,2.6450448501855135,3
2,1,1.3286179695278406,3
2,1,2.1305376514792442,3
2,1,1.2168209590017796,3
2,1,1.544264419004321,3
2,1,1.6286652814596891,3
2,1,1.3419605065137148,3
2,1,1.5911942832171917,3
2,1,0.8773519843816757,3
2,1,1.529059087857604,3
2,1,1.187674194574356,3
2,1,1.9583684392273426,3
2,1,1.5053893215954304,3
2,1,1.5698114782571793,3
2,1,2.6140248347073793,3
2,1,2.8096702694892883,3
2,1,3.1618174258619547,3
2,1,1.9655163418501616,3
2,1,0.8018952924758196,3
2,1,2.463551927357912,3
2,1,2.873802524060011,3
2,1,1.638616917654872,3
2,1,1.7430138941854239,3
2,1,2.929791685193777,3
2,1,1.9974224418401718,3
2,1,2.1703546345233917,3
2,1,1.3030040953308344,3
2,1,2.0415853895246983,3
2,1,2.0176372062414885,3
2,1,3.056829420849681,3
2,1,2.8719536811113358,3
2,1,3.7237202748656273,3
2,1,2.0849567502737045,3
2,1,2.012699095532298,3
2,1,2.663481755182147,3
2,1,4.000494383275509,3
2,1,3.6674014404416084,3
2,1,1.787728512659669,3
2,1,2.333718730136752,3
2,1,3.124568158760667,3
2,1,1.7459194976836443,3
2,1,3.3353482466191053,3
2,1,1.3104505259543657,3
2,1,3.3674964737147093,3
2,1,2.830508215352893,3
2,1,3.385760210454464,3
2,1,2.8131344225257635,3
2,1,1.307742778211832,3
2,1,3.7961019910871983,3
2,1,1.8130722288042307,3
2,1,2.193086100742221,3
2,1,3.7686200477182865,3
2,1,1.6727859005331993,3
2,1,2.7473975252360106,3
2,1,3.9387667272239923,3
2,1,3.9041037000715733,3
2,1,2.6692315880209208,3
2,1,3.105811318382621,3
2,1,2.338761333376169,3
2,1,2.3424673676490784,3
2,1,3.730019586160779,3
2,1,2.7295423187315464,3
2,1,4.033170226961374,3
2,1,3.261214518919587,3
2,1,4.797345204278827,3
2,1,3.3668025974184275,3
2,1,3.3359844889491796,3
2,1,2.571217466145754,3
2,1,3.8865496907383204,3
2,1,3.3707305379211903,3
2,1,4.579363880679011,3
2,1,4.589117242023349,3
2,1,4.225088717415929,3
2,1,3.0561352353543043,3
2,1,4.748776974156499,3
2,1,1.7538671530783176,3
2,1,5.022750958800316,3
2,1,5.099385002627969,3
2,1,3.7194125782698393,3
2,1,6.0698255486786366,3
2,1,3.2328039817512035,3
2,1,3.7019863463938236,3
2,1,3.0207603983581066,3
2,1,2.1366685647517443,3
2,1,3.0932022631168365,3
2,1,5.048212870955467,3
2,1,3.6626082342118025,3
2,1,5.507170608267188,3
2,1,3.329887941479683,3
2,1,3.1188878249377012,3
2,1,3.4679301735013723,3
2,1,3.9645839910954237,3
2,1,4.927208973094821,3
2,1,4.061945013701916,3
2,1,3.821070333942771,3
2,1,4.656551910564303,3
2,1,5.7100204192101955,3
2,1,3.579169886186719,3
2,1,5.317031657323241,3
2,1,3.6750062834471464,3
2,1,3.4215771071612835,3
2,1,4.285581856966019,3
2,1,4.502710519358516,3
2,1,3.804388113319874,3
2,1,5.57511942833662,3
2,1,5.3218565713614225,3
2,1,5.035320606082678,3
2,1,5.399421494454145,3
2,1,4.092268345877528,3
2,1,3.801297152414918,3
2,1,4.08679648116231,3
2,1,6.0959229581058025,3
2,1,6.376385839655995,3
2,1,4.788936482742429,3
2,1,4.078541541472077,3
2,1,4.820721363648772,3
2,1,3.8101058546453714,3
2,1,3.8032244201749563,3
2,1,2.669667549431324,3
2,1,3.935064312070608,3
2,1,3.5887401830404997,3
2,1,4.603971937671304,3
2,1,4.573712045326829,3
2,1,5.6171988639980555,3
2,1,4.564143570140004,3
2,1,3.87817776016891,3
2,1,2.412044707685709,3
2,1,4.828218910843134,3
2,1,4.0946104023605585,3
2,1,5.626289423555136,3
2,1,4.3672043811529875,3
2,1,5.3818319998681545,3
2,1,1.857603169977665,3
2,1,3.187258068472147,3
2,1,5.237773964181542,3
2,1,2.806539425626397,3
2,1,6.110728288069367,3
2,1,6.865235608071089,3
2,1,5.702700546011329,3
2,1,3.8304145354777575,3
2,1,5.933387355878949,3
2,1,2.766261888667941,3
2,1,5.56848756596446,3
2,1,5.677672477439046,3
2,1,5.946943931281567,3
2,1,3.509279664605856,3
2,1,4.802946565672755,3
2,1,5.650346809998155,3
2,1,3.539071813225746,3
2,1,3.648181326687336,3
2,1,3.1080852802842855,3
2,1,5.1859175860881805,3
2,1,6.178852988407016,3
2,1,6.477461298927665,3
2,1,5.485769666731358,3
2,1,6.069137971848249,3
2,1,5.315541256219149,3
2,1,3.6752741243690252,3
2,1,5.459006683900952,3
2,1,9.252136196941137,3
2,1,4.038233447819948,3
2,1,3.9792475420981646,3
2,1,6.396893385797739,3
2,1,7.495126670226455,3
2,1,6.3580608163028955,3
2,1,6.1756545547395945,3
2,1,5.3432881180197,3
2,1,4.340134713798761,3
2,1,4.89552253857255,3
2,1,6.560081463307142,3
2,1,2.9745281487703323,3
2,1,5.890925729647279,3
2,1,4.147787706926465,3
2,1,5.94072694145143,3
2,1,5.714973170310259,3
2,1,4.58727047033608,3
2,1,4.270700706169009,3
2,1,5.203770272433758,3
2,1,5.2314452808350325,3
2,1,3.162802826613188,3
2,1,4.009793585166335,3
2,1,2.8529046922922134,3
2,1,5.612908020615578,3
2,1,5.152616277337074,3
2,1,6.24288684874773,3
2,1,3.2387850377708673,3
2,1,4.232348948717117,3
2,1,6.4075156804174185,3
2,1,3.921232081949711,3
2,1,5.3494835663586855,3
2,1,6.96254700794816,3
2,1,7.684201734140515,3
2,1,5.460320463404059,3
2,1,5.81136142089963,3
2,1,4.4045769684016705,3
2,1,2.275141855701804,3
2,1,4.965079208835959,3
2,1,5.42192137427628,3
2,1,4.651400478556752,3
2,1,6.116200886666775,3
2,1,4.93898612447083,3
2,1,6.300386985763907,3
2,1,8.283993035554886,3
2,1,4.2186757903546095,3
2,1,6.9218904580920935,3
2,1,5.185451000928879,3
2,1,5.709619417786598,3
2,1,6.534253975376487,3
