Depth,Reeval_level,Time(s),Preeval
2,1,4.172724148258567,3
2,1,2.6088501010090113,3
2,1,1.3801525719463825,3
2,1,1.7430722825229168,3
2,1,1.5553957056254148,3
2,1,1.3505988474935293,3
2,1,1.737034248188138,3
2,1,0.9682351965457201,3
2,1,1.3384271077811718,3
2,1,1.3149714674800634,3
2,1,2.047580074518919,3
2,1,1.9960895832628012,3
2,1,1.3348024841398,3
2,1,2.322934463620186,3
2,1,1.2243817914277315,3
2,1,2.7571882642805576,3
2,1,2.3898032661527395,3
2,1,1.9558075033128262,3
2,1,1.083697596564889,3
2,1,1.7374562062323093,3
2,1,0.7726771701127291,3
2,1,1.3944358974695206,3
2,1,2.205557242035866,3
2,1,1.7884860690683126,3
2,1,1.1940130554139614,3
2,1,1.8825964760035276,3
2,1,1.503168348222971,3
2,1,2.208896653726697,3
2,1,1.0949532873928547,3
2,1,2.045164158567786,3
2,1,2.4605893455445766,3
2,1,1.8480748627334833,3
2,1,1.6865695659071207,3
2,1,1.9117384906858206,3
2,1,1.6480399128049612,3
2,1,1.437207592651248,3
2,1,1.3764702826738358,3
2,1,2.026021996513009,3
2,1,1.4133052974939346,3
2,1,0.983125664293766,3
2,1,0.6968608014285564,3
2,1,2.9003535956144333,3
2,1,2.1869525592774153,3
2,1,2.068312883377075,3
2,1,1.3483652360737324,3
2,1,2.5702865440398455,3
2,1,1.678634898737073,3
2,1,1.8797948509454727,3
2,1,1.327972337603569,3
2,1,1.8820625096559525,3
2,1,1.8523514736443758,3
2,1,2.1281003933399916,3
2,1,0.555830541998148,3
2,1,1.1165391188114882,3
2,1,0.8308292105793953,3
2,1,0.7487727981060743,3
2,1,0.5515288952738047,3
2,1,0.9362751953303814,3
2,1,0.7673959955573082,3
2,1,0.6071597468107939,3
2,1,0.9941072929650545,3
2,1,0.8822797741740942,3
2,1,0.7783807255327702,3
2,1,1.3202763479202986,3
2,1,0.6816724315285683,3
2,1,1.4845058415085077,3
2,1,0.6492587104439735,3
2,1,0.8136518765240908,3
2,1,0.8835453819483519,3
2,1,0.9693176224827766,3
2,1,1.244075896218419,3
2,1,1.1279807556420565,3
2,1,0.8888518419116735,3
2,1,1.5231682751327753,3
2,1,0.8273678384721279,3
2,1,1.5934902355074883,3
3,2,37.71400507539511,3
3,2,13.937894985079765,3
3,2,11.019917577505112,3
3,2,25.927323205396533,3
3,2,10.333874456584454,3
3,2,5.48709019459784,3
3,2,7.560170581564307,3
3,2,4.729875100776553,3
3,2,14.211240289732814,3
3,2,15.178411094471812,3
3,2,37.217228868976235,3
3,2,13.611794605851173,3
3,2,6.702909657731652,3
3,2,19.40935355424881,3
3,2,10.266979882493615,3
3,2,27.997041534632444,3
3,2,26.740721134468913,3
3,2,18.201665490865707,3
3,2,16.05025813356042,3
3,2,13.500752199441195,3
3,2,3.6530133839696646,3
3,2,13.493767231702805,3
3,2,22.676424875855446,3
3,2,13.300384543836117,3
3,2,16.981515871360898,3
3,2,24.246734339743853,3
3,2,14.411750769242644,3
3,2,10.004537621513009,3
3,2,4.977102050557733,3
3,2,15.413173250854015,3
3,2,13.134945148602128,3
3,2,17.141869423910975,3
3,2,11.520550860092044,3
3,2,12.48306661657989,3
3,2,22.23980786651373,3
3,2,9.221931744366884,3
3,2,11.598357658833265,3
3,2,27.026174135506153,3
3,2,10.919361419975758,3
3,2,11.374771790578961,3
3,2,4.787603948265314,3
3,2,19.18028599768877,3
3,2,16.59100867062807,3
3,2,23.411566115915775,3
3,2,6.141148686408997,3
3,2,48.615412728860974,3
3,2,18.741102885454893,3
3,2,15.092571133747697,3
3,2,8.486787632107735,3
3,2,7.94287402741611,3
3,2,19.60725528560579,3
3,2,23.03194479085505,3
3,2,2.0046676881611347,3
3,2,7.329041823744774,3
3,2,12.202777130529284,3
3,2,4.073534643277526,3
3,2,4.394667886197567,3
3,2,5.450915742665529,3
3,2,6.844744805246592,3
3,2,3.0036566983908415,3
3,2,8.826698755845428,3
3,2,8.05948000214994,3
3,2,6.680834392085671,3
3,2,5.6838992070406675,3
3,2,4.868864111602306,3
3,2,7.313620904460549,3
3,2,2.757033573463559,3
3,2,5.401829047128558,3
3,2,13.312338484451175,3
3,2,2.5844982843846083,3
3,2,7.405142206698656,3
3,2,7.629169203341007,3
3,2,9.439593678340316,3
3,2,12.995625225827098,3
3,2,5.382043657824397,3
3,2,21.750077478587627,3
4,3,594.345169454813,3
4,3,213.5111110508442,3
4,3,90.64578842371702,3
4,3,390.1180850509554,3
4,3,149.0253743994981,3
4,3,55.46359003521502,3
4,3,155.58237976953387,3
4,3,102.3132756613195,3
4,3,211.77688718400896,3
4,3,124.45710184238851,3
4,3,578.9405475724488,3
4,3,186.00101842358708,3
4,3,90.51116260886192,3
4,3,342.2948756106198,3
4,3,103.59112663194537,3
4,3,491.08580690063536,3
4,3,318.52256144955754,3
4,3,230.5690380167216,3
4,3,132.01772864349186,3
4,3,182.78553790785372,3
4,3,55.807565396651626,3
4,3,136.14841798879206,3
4,3,338.1274719685316,3
4,3,123.39054700545967,3
4,3,237.80148298479617,3
4,3,285.7336928974837,3
4,3,317.8258173465729,3
4,3,148.42656678333879,3
4,3,50.413798451423645,3
4,3,181.5950583331287,3
4,3,161.85023355297744,3
4,3,259.13684546016157,3
4,3,189.2046202775091,3
4,3,157.77330096624792,3
4,3,315.91545227728784,3
4,3,151.5843406841159,3
4,3,115.03059023059905,3
4,3,480.1495493799448,3
4,3,105.94136123172939,3
4,3,149.12353462725878,3
4,3,25.907222950831056,3
4,3,312.15475223585963,3
4,3,144.74506621807814,3
4,3,257.777203053236,3
4,3,52.12683559395373,3
4,3,759.6159612387419,3
4,3,147.17311184108257,3
4,3,155.88453300856054,3
4,3,64.97659260965884,3
4,3,118.05953308939934,3
4,3,125.98176625743508,3
4,3,233.81623010896146,3
4,3,11.762541314586997,3
4,3,49.764745423570275,3
4,3,58.6998490318656,3
4,3,18.36550327949226,3
4,3,19.808168571442366,3
4,3,91.25202624127269,3
4,3,39.711152939125896,3
4,3,13.711129264906049,3
4,3,108.25134924985468,3
4,3,67.1012509111315,3
4,3,48.18635370209813,3
4,3,79.8774287160486,3
4,3,16.140813875943422,3
4,3,98.99901191703975,3
4,3,13.289112590253353,3
4,3,29.06706447340548,3
4,3,102.9426516648382,3
4,3,22.02465751208365,3
4,3,78.75862510688603,3
