Depth,Reeval_level,N_best,percentage,percentage_epsilon,Time(s),Preeval
2,1,5,,,1.6511051710695028,3
2,1,5,,,0.772296104580164,3
2,1,5,,,0.8907165806740522,3
2,1,5,,,0.801276994869113,3
2,1,5,,,0.786367803812027,3
2,1,5,,,0.7049823794513941,3
2,1,5,,,0.577154939994216,3
2,1,5,,,0.46787434443831444,3
2,1,5,,,0.5337548442184925,3
2,1,5,,,0.853818828240037,3
2,1,5,,,0.6933759208768606,3
2,1,5,,,0.626958716660738,3
2,1,5,,,0.7985321674495935,3
2,1,5,,,0.8078342638909817,3
2,1,5,,,0.89303726144135,3
2,1,5,,,0.7107459735125303,3
2,1,5,,,0.850895781069994,3
2,1,5,,,0.9229233637452126,3
2,1,5,,,0.5842908639460802,3
2,1,5,,,0.5323895681649446,3
2,1,5,,,0.7589931208640337,3
2,1,5,,,0.768094714730978,3
2,1,5,,,0.5767604224383831,3
2,1,5,,,0.9237523600459099,3
2,1,5,,,0.7359271738678217,3
2,1,5,,,0.44360671006143093,3
2,1,5,,,0.9221253860741854,3
2,1,5,,,0.784875413402915,3
2,1,5,,,0.8662883825600147,3
2,1,5,,,0.5284970477223396,3
2,1,5,,,0.5210066605359316,3
2,1,5,,,0.5174210276454687,3
2,1,5,,,0.8151206262409687,3
2,1,5,,,0.7987856529653072,3
2,1,5,,,0.5867417715489864,3
2,1,5,,,0.9138296972960234,3
2,1,5,,,0.9284333437681198,3
2,1,5,,,0.8755599409341812,3
2,1,5,,,0.9258942361921072,3
2,1,5,,,0.8626209441572428,3
2,1,5,,,0.8479592017829418,3
2,1,5,,,0.8073261678218842,3
2,1,5,,,0.7318528108298779,3
2,1,5,,,0.9307463653385639,3
2,1,5,,,0.5692324731498957,3
2,1,5,,,0.9245773032307625,3
2,1,5,,,0.5681047737598419,3
2,1,5,,,0.8120791334658861,3
2,1,5,,,0.9351884126663208,3
2,1,5,,,0.4582896400243044,3
2,1,5,,,0.6129492074251175,3
2,1,5,,,0.45810836739838123,3
2,1,5,,,0.5476081799715757,3
2,1,5,,,0.9234075341373682,3
