Depth,Reeval_level,N_best,percentage,percentage_epsilon,Time(s),Preeval
2,1,5,,,2.6969306729733944,3
2,1,5,,,1.024059284478426,3
2,1,5,,,1.02849124930799,3
2,1,5,,,0.9097470436245203,3
2,1,5,,,0.8951869606971741,3
2,1,5,,,1.0384007450193167,3
2,1,5,,,1.0345968920737505,3
2,1,5,,,0.6747772879898548,3
2,1,5,,,1.036669222638011,3
2,1,5,,,0.6657891683280468,3
2,1,5,,,1.0872377548366785,3
2,1,5,,,0.8279783762991428,3
2,1,5,,,0.6474386919289827,3
2,1,5,,,1.034619590267539,3
2,1,5,,,0.6775870248675346,3
2,1,5,,,1.109301295131445,3
2,1,5,,,1.1022634711116552,3
2,1,5,,,1.1222253888845444,3
2,1,5,,,0.7167399693280458,3
2,1,5,,,0.8500489499419928,3
2,1,5,,,0.6379253566265106,3
2,1,5,,,1.083788938820362,3
2,1,5,,,1.16237866692245,3
2,1,5,,,1.0910714715719223,3
2,1,5,,,0.7631860487163067,3
2,1,5,,,1.1834929641336203,3
2,1,5,,,1.0496814027428627,3
2,1,5,,,1.120803888887167,3
2,1,5,,,0.7516216561198235,3
2,1,5,,,1.2335462346673012,3
2,1,5,,,1.254138508811593,3
2,1,5,,,1.1888780873268843,3
2,1,5,,,1.204030830413103,3
2,1,5,,,1.1424518022686243,3
2,1,5,,,1.3152117542922497,3
2,1,5,,,1.1694429907947779,3
2,1,5,,,1.3381130993366241,3
2,1,5,,,1.350034387782216,3
2,1,5,,,1.300366124138236,3
2,1,5,,,0.8667046576738358,3
2,1,5,,,0.7571440599858761,3
2,1,5,,,1.3978774324059486,3
2,1,5,,,1.1649567931890488,3
2,1,5,,,1.245086019858718,3
2,1,5,,,1.2564993016421795,3
2,1,5,,,1.4636056497693062,3
2,1,5,,,1.4703742787241936,3
2,1,5,,,1.2741557974368334,3
2,1,5,,,1.4726517908275127,3
2,1,5,,,1.2323210164904594,3
2,1,5,,,1.5041502173990011,3
2,1,5,,,1.273552032187581,3
2,1,5,,,0.7209225296974182,3
2,1,5,,,0.9365879781544209,3
2,1,5,,,0.9463879372924566,3
2,1,5,,,0.7827389724552631,3
2,1,5,,,0.7830851171165705,3
2,1,5,,,0.9572954848408699,3
2,1,5,,,0.7998860087245703,3
2,1,5,,,0.7844150308519602,3
2,1,5,,,0.9549633823335171,3
2,1,5,,,0.8567369561642408,3
2,1,5,,,0.8877544663846493,3
2,1,5,,,0.8106619622558355,3
2,1,5,,,0.7886617165058851,3
2,1,5,,,0.9846145883202553,3
2,1,5,,,0.7929355893284082,3
2,1,5,,,0.7994202766567469,3
2,1,5,,,0.8499707076698542,3
2,1,5,,,0.8144829906523228,3
2,1,5,,,1.3476690910756588,3
2,1,5,,,0.8199880421161652,3
2,1,5,,,0.8252511583268642,3
2,1,5,,,1.3028579764068127,3
2,1,5,,,0.9130165502429008,3
2,1,5,,,1.5971930846571922,3
2,1,6,,,2.9363431446254253,3
2,1,6,,,1.601457368582487,3
2,1,6,,,1.6309456396847963,3
2,1,6,,,1.4563689082860947,3
2,1,6,,,1.3998214472085238,3
2,1,6,,,1.6838113311678171,3
2,1,6,,,1.6419114992022514,3
2,1,6,,,1.0401667803525925,3
2,1,6,,,1.6657290663570166,3
2,1,6,,,1.0671957097947598,3
2,1,6,,,1.7023278679698706,3
2,1,6,,,1.2781439125537872,3
2,1,6,,,0.9808599874377251,3
2,1,6,,,1.5961793139576912,3
2,1,6,,,1.1093305889517069,3
2,1,6,,,1.7342229802161455,3
2,1,6,,,1.7880479581654072,3
2,1,6,,,1.7708942536264658,3
2,1,6,,,1.0758998170495033,3
2,1,6,,,1.3388936519622803,3
2,1,6,,,0.8981698360294104,3
2,1,6,,,1.6313309408724308,3
2,1,6,,,1.804249357432127,3
2,1,6,,,1.6141465567052364,3
2,1,6,,,1.096152300015092,3
